Gene	PRAS	log2PRAS	rank
MTRNR2L12	962.110492569551	9.91155751010497	1
RNU1-4	715.631175428852	9.48508699589424	2
RNU1-3	715.20458295461	9.48422794019068	3
RN7SKP203	685.75304715564	9.42364759639595	4
RNVU1-28	518.058040027391	9.01975205663925	5
ALB	310.646567447208	8.28376701240909	6
RNVU1-2	195.898728531944	7.62130998488122	7
RN7SKP230	187.412538428739	7.55775116601551	8
RNVU1-1	160.915504677954	7.33909733138173	9
SCARNA2	134.741879124685	7.08472207990753	10
RNVU1-18	126.064998291268	6.98942286570398	11
AL021155.5	125.179708760538	6.97933611575102	12
AFP	109.390288346296	6.78646944548745	13
AL592295.4	99.3597166673312	6.64903649266501	14
FGG	65.5337583457805	6.05601462558132	15
RPL31	62.7978070419281	5.99543492915792	16
EHBP1	56.5777019048833	5.84743830274335	17
SCARNA7	54.0664510818262	5.78310172767916	18
FGFR3	46.772199161832	5.5780993867445	19
RPL5	43.0089631042439	5.4597254756635	20
FN1	39.5026957334414	5.33994602737452	21
TF	38.7139892668065	5.31157538162155	22
CDK11A	37.5540480900548	5.26881044277954	23
SNORA81	33.7839411107394	5.12034949788258	24
APOA2	31.6505133816435	5.02903377111017	25
RPL14	30.2938400005789	4.96780679437002	26
APOB	29.1386513264847	4.91354295415468	27
AHSG	26.0683346618294	4.75853422554973	28
RN7SL674P	25.9562810879095	4.75254956966711	29
ATP1A1	25.8791851664285	4.74841749884589	30
PDIA6	22.337354533527	4.54456912475552	31
RPL37A	22.0158669655418	4.52455688215176	32
RPL24	21.8912927449652	4.51672703371312	33
ENO1	21.06999541272	4.4640144246387	34
NBPF12	20.9725547206436	4.45763071469545	35
FGB	19.6715749867	4.36957640812764	36
SNORD94	19.6444969441072	4.36768535888054	37
RPS8	19.4574000927113	4.35455090117837	38
CCNL2	18.3158445816874	4.27171285540688	39
RNU4ATAC	18.2335315538924	4.26555178151239	40
ANKRD36B	17.4693217539525	4.20705898231352	41
FMNL2	17.3957024443684	4.20129686191083	42
SCARNA5	16.5270603539346	4.13151214184432	43
PTMA	16.4724669655399	4.12701141394242	44
MAP4K4	15.9394254522792	4.08231303737302	45
SNORA80E	15.6324367051462	4.05592763843183	46
SNORD20	15.2852071477006	4.02549016580691	47
SEC31A	15.0934086747532	4.00839802426318	48
NBPF26	14.8034992871274	3.98217213716461	49
GLYCTK	14.0153690783907	3.90836803172181	50
WDFY3	13.8366821761977	3.89109660307896	51
